headword,pronunciation
새소리,s ɛː s o r i
새시,s ɛ ʃ i
새우,s ɛ u
새장가,s ɛ ɟ a ŋ g a
새집,s ɛ ɟ i p
새집,s ɛː ɟ i p
새집증후군,s ɛ c i p c ɨ n g h u g u n
새총,s ɛː cʰ o ŋ
색시,s ɛ k s ˈ i
색유리,s ɛ k j u r i
색유리그림,s ɛ k j u r i g ɨ r i m
색전증,s ɛ k c ə n c ɨ ŋ
색채,s ɛ k cʰ ɛ
색텔레비죤,s ɛ k tʰ e l l e b i c j o n
샌들,s ɛ n d ɨ l
샘솟다,s ɛ m s o t t a
샛,s ɛ t
생,s ɛ ŋ
생고기,s ɛ ŋ g o g i
생김치,s ɛ ŋ g i m cʰ i
생리,s ɛ ŋ r i
생물계,s ɛ ŋ m u l g e
생물권,s ɛ ŋ m u l g w ə n
생물학자,s ɛ ŋ m u l h a k c a
생산물,s ɛ ŋ s a n m u l
생산율,s ɛ ŋ s a n n j u l
생산품,s ɛ ŋ s a n pʰ u m
생선묵,s ɛ ŋ s ə n m u k
생식,s ɛ ŋ ʃ i k
생식기,s ɛ ŋ ʃ i k k i
생존하다,s ɛ ŋ ɟ o n h a d a
생체인증,s ɛ ŋ cʰ e i n ɟ ɨ ŋ
생태계,s ɛ ŋ tʰ ɛ g e
생화학,s ɛ ŋ h w a h a k
생화학자,s ɛ ŋ h w a h a k ɟ a
샤미센,ʃ a m i s e n
샴페인,ʃ a m pʰ e i n
서귀포,s ə g w i pʰ o
서방측,
서버,s ə b ə
서벌,s ə b ə l
서사하라,s ə s a h a r a
서운,s ə u n
서울특별시,s ə u l tʰ ɨ k p j ə l d o
석식,s ə k ʃ i k
선,s ə n
선거범죄,s ə n g ə b ə m ɟ ø s ə n g ə b ə m ɟ w e
선거사범,s ə n g ə s a b ə m
선량계,s ə l l j a ŋ g j e
선선,s ə n s ə n
선하다,s ə n h a d a
선하다,s əː n h a d a
설사,s ə l s a
설전음,s ə l c ə n ɨ m
섬,s ə m
섬,s əː m
섬색,s ə m s ɛ k
성,s ə ŋː
성,s əː ŋ
성,s ə ŋ
성가,s ə ŋ g a
성교육,s əː ŋ g j o j u k
성나다,s ə ŋː n a d a
성내다,s ə ŋː n ɛ d a
성대,s ə ŋ d ɛ
성부르다,s ə ŋ b u r ɨ d a
성분,s ə ŋ b u n
성산가야,s ə ŋ s a n g a j a
성서,s əː ŋ s ə
성실히,s ə ŋ ʃ i l h i
성싶다,s ə ŋ ʃ i p d a
성씨,s ə ŋː ʃ
성애,s ə ŋ ɛ
성어,s ə ŋ ə
성의,s ə ŋ ɨ j
성인,s əː ŋ i n
성인,s ə ŋ i n
성전환,s ə ŋ ɟ ə n h w a n
성전환자,s ə ŋ ɟ ə n h w a n ɟ a
성전환증,s ə ŋ ɟ ə n h w a n ɟ ɨ ŋ
성차별,s ə ŋ cʰ a b j ə l
성하다,s ə ŋ tʰ a d a
성행,s əː ŋ h ɛ ŋ
성행위,s əː ŋ h ɛ ŋ w i
성행하다,s əː ŋ h ɛ ŋ h a d a
성형,s ə ŋ h j ə ŋ
섶,s ə p
세간,s e g a n
세계어,s e g e ə
세계지도,s e g j e c i d o
세력,s eː r j ə k
세로띠,s e r o t i
세로줄,s e r o c u l
세로축,s e r o cʰ u k
세무사,s e m u s a
세상사,s e s a ŋ s a
세숫비누,s e s u t p i n u
세일,s e i l
세제곱,s eː c e k o p
세종특별자치시,s e ɟ o ŋ tʰ ɨ k p j ə l ɟ a cʰ i d o
세쿼이아,s e kʰ w ə i a
세탁비누,s eː tʰ a k p i n u
세팍타크로,s e pʰ a k tʰ a kʰ ɨ r o
센말,s eː n m a l
셀러리,s e l l ə r i
셀프,s e l pʰ ɨ
셈,s eː m
셈,s e m
셔벗,s j ə b ə t
셔츠,s j ə cʰ ɨ
셔틀콕,ʃ j ə tʰ ɨ l kʰ o k
셤,ʃ ə m
소갈비,s o g a l b i
소년병,s o n j ə n b j ə ŋ
소르브인,s o r ɨ b ɨ i n
소름,s o r ɨ m
소리같은말,s o r i k a t ɨ n m aː l
소말릴란드,s o m a l l i l l a n d ɨ
소불고기,s o p u l k o g i
소산,s oː s a n
소산,s o s a n
소설,s o s ə l
소수,s oː s u
소수,s o s u
소시락,s o s i r a k
소시락소시락,s o s i r a k s o s i r a k
소아암,s o a a m
소양감,s o y a n g g a m
소우주,s o u ɟ u
소원하다,s o w ə n h a d a
소장,s oː ɟ a ŋ
소장,s o c a ŋ
소장암,s o ɟ a ŋ a m
소젖,s o c ə t
소지,s oː ɟ i
소지,s o ɟ i
소파,s o pʰ a
소파,s oː pʰ a
소화하다,s o h w a h a d a
속,s oː k
속,s o k
속임동작,s o k i m d o ŋ ɟ a k
손,s oː n
손,s o n
손결,p o ɟ o g ɛ
손님마마,s o n n i m m a m a
손목걸이,s o n m o k k ə r i
손목시계,s o n m o k ʃ i g j e
손벽춤,s o n b j ə k cʰ u m
손벽희,s o n b j ə k h ɨ
손시계,s o n ʃ i g j e
손주,s o n ɟ u
손톱괄호,s o n tʰ o p g w a l h o
손톱묶음,s o n tʰ o p m u k ɨ m
솔,s o l
솔방울,s o l p a ŋ u l
송,s o ŋ
송,s oː ŋ
송골매,s o ŋ g o l m ɛ
송별,s o ŋ b j ə l
송별식,s o ŋ b j ə l ʃ i k
솥,s o t
쇄골,s w e k o l
쇠,s øː s w eː
쇠,s ø s w e
쇠걸이,s ø k ə l i s w e k ə l i
쇠고기덮밥,s ø g o g i t ə p b a p s w e g o g i t ə p b a p
쇠사슬,s ø s a s ɨ l s w e s a s ɨ l
수,s u
수,s uː
수고양이,s u g o j a ŋ i
수다,s u d a
수리부엉이,s u r i b u ə ŋ i
수리적위치,s u r i ɟ ə k w i cʰ i
수립하다,s u r i p h a d a
수마크,s u m a kʰ ɨ
수말,s u m a l
수박춤,s uː b a k cʰ u m
수상하다,s u s a ŋ h a d a
수색,s u s ɛ k
수색하다,s u s ɛ kʰ a d a
수선스레,s u s ə n s ɨ r e
수술하다,s u s u l h a d a
수온약층,s u o n j a k cʰ ɨ ŋ
수퇘지,s u tʰ w ɛ ɟ i
수풀,s u pʰ u l
수험자,s u h ə m c a
순간적,s u n g a n ɟ ə k
순경음,s u n g j ə ŋ ɨ m
순례하다,s u l l e h a d a
순록,s u l l o k
순망치한,s u n m a ŋ cʰ i h a n
순우리말,s u n u r i m a l
숟가락,s u t k a r a k
숨길,s u m k i l
숨은그림찾기,s uː m ɨ n g ɨ r i m cʰ a t g i
숨통,s u m t o ŋ
숫자공포증,s u c a g o ŋ pʰ o c ɨ ŋ
숭경,s u ŋ g j ə ŋ
숭배,s u ŋ b ɛ
숭배하다,s u ŋ b ɛ h a d a
숭어,s u ŋ ə
쉬야하다,s w iː j a h a d a s yː j a h a d a
쉴드,ʃ w i l d ɨ
슈퍼문,s j u pʰ ə m u n
슈퍼컴퓨터,ʃ j u pʰ ə kʰ ə m pʰ j u tʰ ə
스레하다,
스산,s ɨ s a n
스시,s ɨ ʃ i
스웨덴인,s ɨ w e d e n i n
스칸디나비아,s ɨ kʰ a n d i n a b i a
스케트,s ɨ kʰ e tʰ ɨ
스코틀랜드,s ɨ kʰ o tʰ ɨ l l ɛ n d ɨ
스쿨버스,s ɨ kʰ u l p ə s ɨ
스키니진,s ɨ kʰ i n i ɟ i n
스테이크,s ɨ tʰ e i kʰ ɨ
스테인드글라스,ʃ ɨ tʰ e i n d ɨ g ɨ l r a ʃ ɨ
스파이크하다,s ɨ pʰ a i kʰ ɨ h a d a
스페이드,s ɨ pʰ e i d ɨ
스페츠나츠,s ɨ pʰ e cʰ ɨ n a cʰ ɨ
스포일러,s ɨ pʰ o i l l ə
스포츠카,s ɨ pʰ o cʰ ɨ kʰ a
스플릿,s ɨ pʰ ɨ l r i t
슬라브족,s ɨ l l a b ɨ ɟ o k
습니다,s ɨ p n i d a
승하차,s ɨ ŋ h a cʰ a
승하차하다,s ɨ ŋ h a cʰ a h a d a
시,ʃ iː
시,ʃ i
시가,s iː k a
시가,s iː g a
시가,s i g a
시각,ʃ i g a k
시각,ʃ iː g a k
시곗바늘,ʃ i g j e t p a n ɨ l
시너지,ʃ i n ə ɟ i
시드니,ʃ i d ɨ n i
시력검사표,ʃ i r j ə k k ə m s a pʰ j o
시뮬레이션,ʃ i m j u l r e i ʃ j ə n
시읏,ʃ i ɨ t
시인,ʃ i i n
시인,ʃ iː i n
시작,ʃ iː ɟ a k
시작,ʃ i ɟ a k
시작하다,ʃ iː ɟ a kʰ a d a
시작하다,ʃ i ɟ a kʰ a d a
시장,ʃ iː ɟ a ŋ
시장,ʃ i ɟ a ŋ
시저,ʃ i ɟ ə
시조,ʃ i ɟ o
시조,ʃ iː ɟ o
시차,ʃ i cʰ a
시차,ʃ iː cʰ a
시트,ʃ i tʰ ɨ
식도암,ʃ i k d o a m
식목일,ʃ i k m o k i l
식물학자,ʃ i k m u l h a k c a
식용달팽이,ʃ i k j o ŋ t a l pʰ a ŋ i
식용버섯,s i k j o ŋ p ə s ə t
식판,ʃ i k pʰ a n
신,ʃ i n
신,ʃ iː n
신경계,s i n g j ə ŋ g j e
신경세포,s i n g j ə ŋ s e pʰ o
신구간,ʃ i n g u g a n
신돈,ʃ i n d o n
신사복,ʃ i n s a b o k
신생대,ʃ i n s ɛ ŋ d ɛ
신장,ʃ i n c a ŋ
신장,ʃ iː n ɟ a ŋ
신장,ʃ i n ɟ a ŋ
신제품,ʃ i n ɟ e pʰ u m
신조어,ʃ i n ɟ o ə
실,ʃ iː l
실례,ʃ iː l l j e
실례,ʃ i l l j e
실망,ʃ i l m a ŋ
실업,ʃ i l ə p
실증적,ʃ i l c ɨ ŋ c ə k
실질,s i l ɟ i l
실패,s i l pʰ ɛ
실패,s iː l pʰ ɛ
실황예보,ʃ i l h w a ŋ j e b o
십각형,ʃ i p g a k h j ə ŋ
싸,s a
싸움,s a u m
싹쓸바람,s a k s ɨ l b a r a m
쌀알눈,s a r a l l u n
쌍괄호,s a ŋ g w a l h o
쌤,s ɛ m
쌤,s ɛː m
쌤통,s ɛ m t o ŋ
쌩얼,s ɛ ŋ ə l
썰렁,s ə l
쐐기풀,s ø g i pʰ u l s w e g i pʰ u l
쓰륵,s ɨ r ɨ k
쓰메키리,s ɨ m e kʰ i r i
쓸림,s ɨ l l i m
쓸모없이,s ɨ l m o ə p ʃ i
씨,ʃː
씨,ʃ i
씨물,s i m u l
씨발,ʃ i pʰ a l
씨뿌리기,ʃ i b u r i g i
씨팔,ʃ i pʰ a l
아경도풍,a g j ə ŋ d o pʰ o ŋ
아나가야,a n a g a j a
아나톨리,a n a tʰ o l l i
아날로그시계,a n a l r o g ɨ ʃ i g j e
아니메,a n i m e
아라가야,a r a g a j a
아랍어,a r a b ə
아랍인,a r a p i n
아래아,a r ɛ a
아르,a r ɨ
아르마딜로,a r ɨ m a d i l l o
아르메니아인,a r ɨ m e n i a i n
아르헨티나인,a r ɨ h e n tʰ i n a i n
아마,a m a
아마포,a m a pʰ o
아바타,a b a tʰ a
아보카도,a b o kʰ a d o
아세테이트,a s e tʰ e i tʰ ɨ
아슈케나짐,a ʃ u kʰ e n a ɟ i m
아승기,a s ɨ ŋ g i
아시량,a s i r y a ŋ
아시량국,a s i r y a ŋ g u k
아시아경기대회,a ʃ i a k j ə ŋ k i t ɛ h ø a ʃ i a k j ə ŋ k i t ɛ h w e
아시아인,a ʃ i a i n
아시아코끼리,a ʃ i a kʰ o k i r i
아시안게임,a ʃ i a n k e i m
아싸,a s a
아야가야,a j a g a j a
아역,a j ə k
아열대고기압,a j ə l d ɛ g o g i a p
아열대기단,a j ə l d ɛ g i d a n
아열대기후,a j ə l d ɛ g i h u
아열대제트기류,a j ə l d ɛ ɟ e tʰ ɨ g i r j u
아오모리,a o m o r i
아오자이,a o ɟ a i
아욱국,a u k k u k
아이누족,a i n u ɟ o k
아이슬란드어,a i s ɨ l l a n d ɨ ə
아이오딘,a i o d i n
아이폰,a i pʰ o n
아인슈타이늄,a i n ʃ u tʰ a i ɲ u m
아제르바이잔인,a ɟ e r ɨ b a i ɟ a n i n
아지균풍,a ɟ i g j u n pʰ o ŋ
아치교,a cʰ i g j o
아치형,a cʰ i h j ə ŋ
아치형마치,a cʰ i h j ə ŋ m a cʰ i
아침노을,
아포리아,a pʰ o r i a
아홉,a h o p
악기,a k k i
악기상요소,a k k i s a ŋ j o s o
악성임파종,a k s ə ŋ i m pʰ a c o ŋ
악착,a k cʰ a k
악착하다,a k cʰ a k kʰ a d a
안개관측시스템,a nː g ɛ g w a n cʰ ɨ k ʃ i s ɨ tʰ e m
안경,aː n g j ə ŋ
안경곰,a n g j ə ŋ g o m
안녕하세요,a n n j ə ŋ h a s e j o
안장부,a nː ɟ a ŋ b u
안정기단,a n ɟ ə ŋ g i d a n
알람시계,a l r a m ʃ i g j e
알바니아인,a l b a n i a i n
알베도,a l b e d o
알제리인,a l ɟ e r i i n
알파벳순,a l pʰ a b e t s u n
암,a m
암,aː m
암곰,a m k o m
암공포증,aː m g o ŋ pʰ o c ɨ ŋ
암랑,a m r a ŋ
암석아스팔트,a m s ə k a s ɨ pʰ a l tʰ ɨ
암시,aː m ʃ i
암양,a m j a ŋ
압생트,a p s ɛ ŋ tʰ ɨ
압하스어,a p h a s ɨ ə
압하스인,a b h a s ɨ i n
았,a t
앙상블예보,a ŋ s a ŋ b ɨ l j e b o
애급,ɛ g ɨ p
애너그램,ɛ n ə g ɨ r ɛ m
애니,ɛ n i
애니메이션,ɛ n i m e i ʃ ə n
애쿼틴트,ɛ kʰ w ɛ tʰ i n tʰ ɨ
애호가,ɛ h o g a
애호박,ɛ h o b a k
앤솔러지,ɛ n s o l l ə ɟ i
앰뷸런스,ɛ m b j u l l ə n s ɨ
앵커,ɛ ŋ kʰ ə
야간,j a g a n
야간냉각,j a g a n n ɛ ŋ g a k
야간뇌우,j aː g a n n ø u j aː g a n n w e u
야간복사,j a g a n b o k s a
야구공,j a g u g o ŋ
야마,j a m a
야위다,j a w i d a j a y d a
야자나무,j aː ɟ a n a m u
야쿠자,j a kʰ u ɟ a
야행성동물,j a h ɛ ŋ s ə ŋ d oː ŋ m u l
야행하다,j a h ɛ ŋ h a d a
야훼,j a h w e
약명전,j a k m j ə ŋ ɟ ə n
약명표,j a k m j ə ŋ pʰ j o
약용백분,j a k j o ŋ p ɛ k p u n
약이름표,j a k i r ɨ m pʰ j o
약해지다,j a k h ɛ ɟ i d a
양,j a ŋ
양,j aː ŋ
양감,y a n g g a m
양도하다,j a ŋ d o h a d a
양동이,j a ŋ d o ŋ i
양성애,j aː ŋ s ə ŋ ɛ
양성애자,j aː ŋ s ə ŋ ɛ ɟ a
양의사,j a ŋ ɨ j s a
양장피,j a ŋ c a ŋ pʰ i
양쯔강고기압,j a ŋ ɟ ɨ g a ŋ g o g i a p
양털,j a ŋ tʰ ə l
양하다,j a ŋ h a d a
어는고도,əː n ɨ n g o d o
어두워지다,ə d u w ə ɟ i d a
어디,ə d i
어림수,ə r i m s u
어미,ə m i
어민족제비,ə m i n ɟ o k ɟ e b i
어젯밤,ə ɟ e t b a m
어휘학,ə h w i h a k
언더,ə n d ə
언더스로,ə n d ə s ɨ r o
얼간,ə l
얼꽝,ə l k w a ŋ
얼음냉수,ə l ɨ m n ɛː ŋ s u
얼음보숭이,ə l ɨ m b o s u ŋ i
엄두,ə m t u
업,ə p
업그레이드,ə p g ɨ r e i d ɨ
업소,ə p s o
엇시조,ə t ʃ i ɟ o
에디,e d i
에러,e r ə
에르자어,e r ɨ ɟ a ə
에마그램,e m a g ɨ r ɛ m
에스컬레이터,e s ɨ kʰ ə l l e i tʰ ə
에스트로겐,e s ɨ tʰ ɨ r o g e n
에스파냐인,e s ɨ pʰ a ɲ a i n
에이형,e i h j ə ŋ
에티켓,e tʰ i kʰ e t
에피소드,e pʰ i s o d ɨ
엑스축,e k s ɨ cʰ u k
엔테로바이러스,e n tʰ e r o b a i r ə s ɨ
엔트로피,e n tʰ ɨ r o pʰ i
엘리스타,e l l i s ɨ tʰ a
엠시,e m ʃ i
여관,j ə g w a n
여단,j ə d a n
여당,j ə d a ŋ
여럿이름씨,j ə r ə t i r ɨ m s i
여름방학,j ə r ɨ m p a ŋ h a k
여린말,j ə r i n m a l
여사,j ə s a
여사하다,j ə s a h a d a
여성공포증,j ə s ə ŋ g o ŋ pʰ o c ɨ ŋ
여성애,j ə s ə ŋ ɛ
여성애자,j ə s ə ŋ ɛ ɟ a
여아,j ə a
여야,j ə j a
여우비,j ə u p i
여위다,j ə w i d a j ə y d a
여의도,j ə ɨ t o
여의주,j ə ɨ j j u j ə i j u
여자아이,j ə ɟ a a i
여중생,j ə ɟ u ŋ s ɛ ŋ
여친,j ə cʰ i n
여탕,j ə tʰ a ŋ
여하튼,j ə h a tʰ ɨ n
여행기,j ə h ɛ ŋ g i
역,j ə k
역지사지,j ə k ɟ i s a ɟ i
연극하다,j ə n g ɨ k h a d a
연금술사,j ə n g ɨ m s u l s a
연기,j əː n g i
연기,j ə n g i
연리지,j ə l l i ɟ i
연립방정식,j ə l l i p b a ŋ ɟ ə ŋ ʃ i k
연립부등식,j ə l l i p b u d ɨ ŋ ʃ i k
연변화,j ə n b j ə n h w a
연보라,
연석,j ə n s ə k
연설가,j ə n s ə l g a
연속적,j ə n s o k c ə k
연쇄,j ə n s ø j ə n s w e
연안바다,j ə n a n b a d a
연유하다,j ə n j u h a d a
연인,j əː n i n
연장예보,j ə n ɟ a ŋ j e b o
연직단면,j ə n ɟ i k t a n m j ə n
연직속도,j ə n ɟ i k s o k t o
연직속도분포,j ə n ɟ i k s o k t o b u n pʰ o
연직시정,j ə n ɟ i k ʃ i ɟ ə ŋ
연직온도경도,j ə n ɟ i g o n d o g j ə ŋ d o
연철,j ə n cʰ ə l
연체동물,j ə n cʰ e t oː ŋ m u l
연탄,j ə n tʰ a n
연하장,j ə n h a ɟ a ŋ
열,j əː l
열,j ə l
열난류,j ə l l a l j u
열뇌우,j ə l l ø u j ə l l w e u
열대기단,j ə l t ˈ ɛ g i d a n
열대대류권계면,j ə l t ˈ ɛ d ɛ r j u g w ə n g j e m j ə n
열대류,j ə l d ɛ r j u
열대상층기단,j ə l t ˈ ɛ s a ŋ cʰ ɨ ŋ g i d a n
열대수렴대,j ə l t ˈ ɛ s u r j ə m d ɛ
열대요란,j ə l t ˈ ɛ j o r a n
열대저기압,j ə l t ˈ ɛ ɟ ə g i a p
열대저압부,j ə l t ˈ ɛ ɟ ə a p p u
열대폭풍,j ə l t ˈ ɛ pʰ o k pʰ o ŋ
열대해양기단,j ə l t ˈ ɛ h ɛ j a ŋ g i d a n
열복사,j ə l b o k s a
열역학선도,j ə l j ə kʰ a k s ə n d o
열저기압,j ə l ɟ ə g i a p
열적운,j ə l ɟ ə g u n
열지수,j ə l ɟ i s u
열차,j ə l cʰ a
열파,j ə l pʰ a
염,j ə m
염소자리,j ə m s o ɟ a r i
염소젖,j ə m s o ɟ ə t
염장,j ə m ɟ a ŋ
염통,j ə m t o ŋ
염화수소,j ə m h w a s u s o
염화암모늄,j ə m h w a a m m o n j u m
엿,j ə t
영,j ə ŋ
영롱하다,j ə ŋ r o ŋ h a d a
영리,j ə ŋ n i
영리하다,j ə ŋ r i h a d a
영미권,j ə ŋ m i k w ə n
영사관,j ə ŋ s a g w a n
영양사,j ə ŋ j a ŋ s a
영업소,j ə ŋ ə p s o
영업하다,j ə ŋ ə p h a d a
영웅,j ə ŋ u ŋ
영지,j ə ŋ ɟ i
영해,j ə ŋ h ɛ
영화롭다,j ə ŋ h w a r o p t a
옅다,j ə t d a
예각,j e g a k
예모,j e m o
예민하다,j e m i n h a d a
예배,j e b ɛ
예배당,j e b ɛ d a ŋ
예배하다,j e b ɛ h a d a
예술품,j e s u l pʰ u m
예약되다,j eː j a k t ø d a j eː j a k t w e d a
예언자,j eː ə n ɟ a
예외적,j e ø ɟ ə k j e w e ɟ ə k
옛한글,y e t aː n g ɨ l
오,oː
오,o
오기,oː g i
오기,o g i
오디,o d i
오똘오똘,o t ˈ o l o t ˈ o l
오뚝이,o t u g i
오라기,o r a g i
오락,o r a k
오렌부르크,o r e n b u r ɨ kʰ ɨ
오렌지주스,o r e n ɟ i ɟ u s ɨ
오르도비스기,o r ɨ d o b i s ɨ g i
오른손,o r ɨ n s o n
오리,oː r i
오막살이,o m a k s ˈ a r i
오만,o m a n
오만,oː m a n
오버스로,o b ə s ɨ r o
오보에,o b o e
오소리,o s o r i
오손도손하다,o s o n d o s o n h a d a
오존,o ɟ o n
오존구멍,o ɟ o n g u m ə ŋ
오줌똥,o ɟ u m t o ŋ
오크로시카,o kʰ ɨ r o s i kʰ a
오타쿠,O tʰ a kʰ u
오팔,o pʰ a l
오페레타,o pʰ e r e tʰ a
오형,o h j ə ŋ
오호츠크해고기압,o h o cʰ ɨ kʰ ɨ h ɛ g o g i a p
오호츠크해기단,o h o cʰ ɨ kʰ ɨ h ɛ g i d a n
옥,o k
옥문,o ŋ m u n
옥새,o k s ɛ
옥수수,o k s u s u
온난고기압,o n n a n g o g i a p
온난기단,o n n a n g i d a n
온난저기압,o n n a n ɟ ə g i a p
온난전선,o n n a n ɟ ə n s ə n
온대,o n d ɛ
온대저기압,o n d ɛ ɟ ə g i a p
온대편서풍,o n d ɛ pʰ j ə n s ə pʰ o ŋ
온대하우기후,o n d ɛ h a u g i h u
온도감률,o n d o g a m r j u l
온도계,o n d o g e
온도보정,o n d o b o ɟ ə ŋ
온도역전,o n d o j ə k ɟ ə n
온도장,o n d o ɟ a ŋ
온도풍,o n d o pʰ o ŋ
온라인게임,o n r a i n g e i m
온순하다,o n s u n h a d a
온실가스,o n ʃ i l k ˈ a s ɨ
온음,o n ɨ m
온음계,o n ɨ m g e
온정주의,o n ɟ ə ŋ ɟ u ɨ j o n ɟ ə ŋ ɟ u i
온천,o n cʰ ə n
온화,o n h w a
온흐림,o nː h ɨ r i m
올리고머,o l l i g o m ə
올리브,o l l i b ɨ
올림픽기,o l l i m pʰ i k g i
올바로,o l b a r o
옰,o l
옴실,o m ʃ i l
옷감,o t k aː m
옷깃,o t g i t
옷장,o t c a ŋ
옹기,o ŋ g i
와도,w a d o
와라이족,w a r a i ɟ o k
와이축,w a i cʰ u k
와이파이,w a i pʰ a i
와인냉장고,w a i n n ɛː ŋ ɟ a ŋ g o
완고하다,w a n g o h a d a
완벽히,w a n b j ə k h i
완비,w a n b i
완비하다,w a n b i h a d a
완수하다,w a n s u h a d a
완화하다,w a n h w a h a d a
왈츠,w a l cʰ ɨ
왕녀,w a ŋ n j ə
왕도마뱀,w a ŋ d o m a b ɛ m
왕바람,w a ŋ b a r a m
왕복,w a ŋ b o k
왕복하다,w a ŋ b o k h a d a
왜성,w ɛ s ə ŋ
왜소행성,w ɛ s o h ɛ ŋ s ə ŋ
외계인,øː k j e i n w eː k j e i n
외기권,ø g i g w ə n w e g i g w ə n
외돌토리,ø t o l tʰ o r i w e t o l tʰ o r i
외발,ø b a l w e b a l
외외가,øː ø g a w eː w e g a
외침,øː cʰ i m w eː cʰ i m
외침,ø cʰ i m w e cʰ i m
외톨박이,ø tʰ o l p a k i w e tʰ o l p a k i
외톨이,ø tʰ o l i w e tʰ o l i
외투,øː tʰ u
요령부득,j o r j e ŋ b u d ɨ k
요모조모,j o m o ɟ o m o
요술,j o s u l
요실금,j o ʃ i l g ɨ m
요양,j o j a ŋ
요요,j o j o
요요하다,j o j o h a d a
요해,j o h ɛ
용량,j oː ŋ ɲ a ŋ
용량,j o ŋ ɲ a ŋ
용맹하다,j o ŋ m ɛ ŋ h a d a
용모,j o ŋ m o
용병,j o ŋ b j ə ŋ
용사,j o ŋ s a
용수로,j o ŋ s u r o
용수철,j o ŋ s u cʰ ə l
용액,j o ŋ ɛ k
용오름,j o ŋ o r ɨ m
용적,j o ŋ ɟ ə k
용질,j o ŋ ɟ i l
용해,j o ŋ h ɛ
우아,u a
우연성,u j ə n s ə ŋ
우열,u j ə l
우의,uː ɨ j
우주계,ɨ n h a g j e
우주배경복사,uː ɟ u p ɛː g j ə ŋ b o k s a
우주살,u ɟ u s a l
우주선,u ɟ u s ə n
우주정거장,u ɟ u ɟ ə ŋ g ə ɟ a ŋ
우주흑체복사,uː ɟ u h ɨ k cʰ e b o k s a
우체,u cʰ e
우체통,u cʰ e tʰ o ŋ
우편집배원,u pʰ j ə n c i p p ɛ w ə n
우편통신원,u pʰ j ə n tʰ o ŋ ʃ i n w ə n
우호적,u h o ɟ ə k
운동에너지,uː n d o ŋ e n ə ɟ i
운명,uː n m j ə ŋ
운문,u nː m u n
운영,uː n j ə ŋ
운용하다,u n j o ŋ h a d a
운전수,u n ɟ ə n s u
운지,uː n ɟ i
운지법,u n ɟ i p ə p
운행하다,u n h ɛ ŋ h a d a
울걱울걱하다,u l g ə k u l g ə kʰ a d a
울분,u l b u n
울타리,u l tʰ a r i
움,uː m
워터벅,w ə tʰ ə b ə k
원고근려,w ə n g o g ɨ l l j ə
원뿔,w ə n p u l
원소행렬,w ə n s o h ɛ ŋ r j ə l
원심분리기,w ə n ʃ i m b u l l i g i
원일점,w ə n i l c ə m
원자구름,w ə n c a k u r ɨ m
원장,w ə n ɟ a ŋ
원장,w ə n c a ŋ
원지점,w ə n ɟ i c ə m
웜뱃,w ə m b ɛ t
웨딩드레스,w e d i ŋ d ɨ r e s ɨ
웨일스,w e i l s ɨ
위만조선,w i m a n ɟ o s ə n
위씨조선,w i s i ɟ o s ə n
위치에너지,w i cʰ i e n ə ɟ i y cʰ i e n ə ɟ i
위키,w i k i
위키뉴스,w i k i ɲ u s ɨ
위태,w i tʰ ɛ
위항인,w i h a ŋ i n
유대인,j u d ɛ i n
유딩,j u d i ŋ
유라시아,j u r a ʃ i a
유럽인,j u r ə p i n
유로,j u r o
유리그림,j u r i k ɨ r i m
유리화,j u r i h w a
유사성,j u s a s ə ŋ
유용하다,j u j o ŋ h a d a
유용하다,j uː j o ŋ h a d a
유유,j u j u
유의파고,j u ɨ y pʰ a g o j u ɨ pʰ a g o j u i pʰ a g o
유일하다,j u i l h a d a
유자형자석,j u ɟ a h j ə ŋ ɟ a s ə k
유치원생,j u cʰ i w ə n s ɛ ŋ
유치하다,j u cʰ i h a d a
유행병,j u h ɛ ŋ b j ə ŋ
육,j u k
육가야,j u k g a j a
육각형,j u k g a k h j ə ŋ
육반구,j u k p a n g y
육상,j u k s a ŋ
육아휴직,ʎ u k ɐ ɦ y u ɠ ɨ k
육회,j u k h ø j u k h w e
윤,j u n
윤날,j u n n a l
윤달,j u n d a l
윤월,j u n w ə l
윤일,j u n i l
윤주,j u n ɟ u
윤초,j u n cʰ o
율,j u l
융기,j u ŋ g i
윷가락,j u t k a r a k
윷놀이,j u t n o l i
윷놀이하다,j u t n o l i h a d a
윷말,j u t m a l
윷짝,j u t c a k
으뜸꼴,ɨ t ɨ m k o l
으뜸음,ɨ t ɨ m ɨ m
으셔요,ɨ s j ə j o
으스스하다,ɨ s ɨ s ɨ h a d a
으아,ɨ a
으악,ɨ a k
은메달,ɨ n m e d a l
은색,
은어,ɨ n ə
은은,ɨ n ɨ n
은인,ɨ n i n
은하단,ɨ n h a d a n
은행장,ɨ n h ɛ ŋ ɟ a ŋ
은혜,ɨ n h e
은혼식,ɨ n h o n s i k
을거나,ɨ l g ə n a
음,ɨ m
음양사,ɨ m j a ŋ s a
음역어,ɨ m j ə k ə
음용수,ɨ m j o ŋ s u
읍,ɨ p
응결,ɨ ŋ g j ə l
응수,ɨ ŋ s u
응용,ɨ ŋ j o ŋ
응축,ɨ ŋ cʰ u k
의뢰하다,ɨ j r œ h a d a ɨ j r w e h a d a
의무경찰,ɨ j m u g j ə ŋ cʰ a l
의사,ɨ jː s a
